movieId,imdbID,Title,Year,Genre,Director,Writer,Actors,Language,Poster,imdbRating,imdbVotes
1985,tt0095271,Halloween 4: The Return of Michael Myers,1988,"Horror, Thriller",Dwight H. Little,"Dhani Lipsius (story), Larry Rattner (story), Benjamin Ruffner (story), Alan B. McElroy (story), Alan B. McElroy (screenplay)","Donald Pleasence, Ellie Cornell, Danielle Harris, George P. Wilbur",English,https://m.media-amazon.com/images/M/MV5BYWNiNjBhZjAtMzVkNi00MTJiLWI0NGQtODE2NmIyNmU2OTQwXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.9,41159
1986,tt0097474,Halloween 5: The Revenge of Michael Myers,1989,"Horror, Thriller",Dominique Othenin-Girard,"John Carpenter (characters), Debra Hill (characters), Michael Jacobs, Dominique Othenin-Girard, Shem Bitterman","Donald Pleasence, Danielle Harris, Ellie Cornell, Beau Starr",English,https://m.media-amazon.com/images/M/MV5BZWE2YTU2ZjMtZjRjOS00NjQ3LWIyYzItMTk2N2YxMjY1ZGRiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.2,32534
1987,tt0081383,Prom Night,1980,"Horror, Thriller",Paul Lynch,"William Gray (screenplay), Robert Guza Jr. (from a story by)","Leslie Nielsen, Jamie Lee Curtis, Casey Stevens, Anne-Marie Martin",English,https://m.media-amazon.com/images/M/MV5BYmY5NDhjOWQtMTYxOS00NWEyLTlkZmItYjlkNjMyMGRiNmJhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.4,13643
1990,tt0105179,Prom Night IV: Deliver Us from Evil,1991,"Horror, Thriller",Clay Borris,Richard Beattie,"Nicole de Boer, J.H. Wyman, Joy Tanner, Alle Ghadban",English,https://m.media-amazon.com/images/M/MV5BYTA5NjFjMzYtZTUzZC00OWY5LTg0ZjctYjA2MTNhYWQzNmNmXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,4.2,1201
1991,tt0094862,Child's Play,1988,"Horror, Thriller",Tom Holland,"Don Mancini (story), Don Mancini (screenplay), John Lafia (screenplay), Tom Holland (screenplay)","Catherine Hicks, Chris Sarandon, Alex Vincent, Brad Dourif",English,https://m.media-amazon.com/images/M/MV5BZGU1MjNiYWYtNGQ5MS00MTgzLTlkYjItZDhhNTdlMTkxZGVlL2ltYWdlXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,6.6,82495
1992,tt0099253,Child's Play 2,1990,"Horror, Thriller",John Lafia,"Don Mancini (characters), Don Mancini","Alex Vincent, Jenny Agutter, Gerrit Graham, Christine Elise",English,https://m.media-amazon.com/images/M/MV5BM2Y0NGNiNGItYzYzOS00NDk0LTkzNWUtMGZjMjc1NWM4MzE3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.8,42478
1993,tt0103956,Child's Play 3,1991,"Horror, Thriller",Jack Bender,"Don Mancini (characters), Don Mancini","Justin Whalin, Perrey Reeves, Jeremy Sylvers, Travis Fine",English,https://m.media-amazon.com/images/M/MV5BOTRjYWVhNjAtMjIwOC00NjU3LTliZTAtMjczMmEwMzQ5Y2Y3XkEyXkFqcGdeQXVyMjQwNTU1NTc@._V1_SX300.jpg,5.1,34123
1994,tt0084516,Poltergeist,1982,"Horror, Thriller",Tobe Hooper,"Steven Spielberg (screenplay), Michael Grais (screenplay), Mark Victor (screenplay), Steven Spielberg (story)","Craig T. Nelson, JoBeth Williams, Beatrice Straight, Dominique Dunne",English,https://m.media-amazon.com/images/M/MV5BNzliZmRlYTctYmNkYS00NzE5LWI1OWQtMTRiODY5MDMwMTVkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.3,134859
1995,tt0091778,Poltergeist II: The Other Side,1986,Horror,Brian Gibson,"Mark Victor, Michael Grais","JoBeth Williams, Craig T. Nelson, Heather O'Rourke, Oliver Robins",English,https://m.media-amazon.com/images/M/MV5BNDYwODU0MTgxNl5BMl5BanBnXkFtZTcwMzkzODM1NA@@._V1_SX300.jpg,5.7,23576
1996,tt0095889,Poltergeist III,1988,"Horror, Thriller",Gary Sherman,"Gary Sherman, Brian Taggert","Tom Skerritt, Nancy Allen, Heather O'Rourke, Zelda Rubinstein",English,https://m.media-amazon.com/images/M/MV5BNjZjMWMwZTEtZjFjNy00M2Y1LWJmMWYtNjFjZjJiNGNiYzc1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,4.7,16116
1997,tt0070047,The Exorcist,1973,Horror,William Friedkin,"William Peter Blatty (written for the screen by), William Peter Blatty (novel)","Ellen Burstyn, Max von Sydow, Lee J. Cobb, Kitty Winn","English, Latin, Greek, French, German, Arabic, Kurdish",https://m.media-amazon.com/images/M/MV5BYjhmMGMxZDYtMTkyNy00YWVmLTgyYmUtYTU3ZjcwNTBjN2I1XkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,8,345797
1998,tt0076009,Exorcist II: The Heretic,1977,Horror,John Boorman,William Goodhart,"Linda Blair, Richard Burton, Louise Fletcher, Max von Sydow","English, French, Spanish",https://m.media-amazon.com/images/M/MV5BZTQ2NmY5NmUtNWJiNS00ZjZmLTllMjQtNzU3YWZlM2E2MmJjXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,3.8,20678
1999,tt0099528,The Exorcist III,1990,"Drama, Horror, Mystery",William Peter Blatty,"William Peter Blatty (screenplay), William Peter Blatty (novel)","George C. Scott, Ed Flanders, Brad Dourif, Jason Miller",English,https://m.media-amazon.com/images/M/MV5BZDEwMmYxM2MtZGQyMy00NTRjLWJjMTMtYWM1NWU1ZWNhZTY0XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.4,23545
2000,tt0093409,Lethal Weapon,1987,"Action, Crime, Thriller",Richard Donner,Shane Black,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan",English,https://m.media-amazon.com/images/M/MV5BZTllNWNlZjctMWQwMS00ZDc3LTg5ZjMtNzhmNzhjMmVhYTFlXkEyXkFqcGdeQXVyNTc1NTQxODI@._V1_SX300.jpg,7.6,226186
2001,tt0097733,Lethal Weapon 2,1989,"Action, Crime, Thriller",Richard Donner,"Jeffrey Boam (screenplay), Shane Black (story), Warren Murphy (story), Shane Black (characters)","Mel Gibson, Danny Glover, Joe Pesci, Joss Ackland","English, Afrikaans",https://m.media-amazon.com/images/M/MV5BYTg0YmE1M2ItNGM2OC00MmZjLTgwMTMtZjlmOGE4N2EyNTVhXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.2,154374
2002,tt0104714,Lethal Weapon 3,1992,"Action, Crime, Thriller",Richard Donner,"Jeffrey Boam (screenplay), Jeffrey Boam (screenplay by), Robert Mark Kamen (screenplay by), Jeffrey Boam (story by), Shane Black (characters)","Mel Gibson, Danny Glover, Joe Pesci, Rene Russo",English,https://m.media-amazon.com/images/M/MV5BOTFlNjI0NDQtMzlkNC00ZDU0LWE0ODktYmI2OTc2YjZlZmVlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.7,150901
2003,tt0087363,Gremlins,1984,"Comedy, Fantasy, Horror",Joe Dante,Chris Columbus,"Hoyt Axton, John Louie, Keye Luke, Don Steele","English, Spanish",https://m.media-amazon.com/images/M/MV5BZDVjN2FkYTQtNTBlOC00MjM5LTgzMWEtZWRlNGUyYmNiOTFiXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.3,186679
2004,tt0099700,Gremlins 2: The New Batch,1990,"Comedy, Fantasy, Horror","Joe Dante, Chuck Jones","Chris Columbus (characters), Charles S. Haas","Zach Galligan, Phoebe Cates, John Glover, Robert Prosky",English,https://m.media-amazon.com/images/M/MV5BZGE3MTA3OWQtYzVjYi00MjkwLThlZTQtNWUzOGVlYjEwMzBhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,6.4,88277
2005,tt0089218,The Goonies,1985,"Adventure, Comedy, Family",Richard Donner,"Chris Columbus (screenplay by), Steven Spielberg (story by)","Sean Astin, Josh Brolin, Jeff Cohen, Corey Feldman","English, Spanish, Cantonese, Italian",https://m.media-amazon.com/images/M/MV5BODRlMjRkZGEtZWM2Zi00ZjYxLWE0MWUtMmM1YWM2NzZlOTE1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.8,228486
2006,tt0120746,The Mask of Zorro,1998,"Action, Adventure, Comedy, Romance, Thriller, Western",Martin Campbell,"Johnston McCulley (character Zorro), Ted Elliott (story), Terry Rossio (story), Randall Jahnson (story), John Eskow (screenplay), Ted Elliott (screenplay), Terry Rossio (screenplay)","José María de Tavira, Diego Sieres, Emiliano Guerra, Yolanda Orizaga",English,https://m.media-amazon.com/images/M/MV5BMzg4ZjQ4OGUtZjkxMi00Y2I2LWEzNTAtODI2ZjkxMGVjNTQwXkEyXkFqcGdeQXVyNjgxNTAwNjQ@._V1_SX300.jpg,6.7,161689
2007,tt0119910,Polish Wedding,1998,"Comedy, Drama, Romance",Theresa Connelly,Theresa Connelly,"Claire Danes, Jon Bradford, Lena Olin, Ramsey Krull",English,https://m.media-amazon.com/images/M/MV5BMTI2NTk0MzI1Nl5BMl5BanBnXkFtZTYwMzU4NjY5._V1_SX300.jpg,5.6,3003
2008,tt0117898,"This World, Then the Fireworks",1997,"Crime, Drama",Michael Oblowitz,"Jim Thompson (story), Larry Gross (screenplay)","Philip Loch, Elis Imboden, Christian Durango, Sloan Cobb",English,https://m.media-amazon.com/images/M/MV5BMTQ3NTU0MDQ0Nl5BMl5BanBnXkFtZTcwNDAxODM5NA@@._V1_SX300.jpg,5.4,1042
2009,tt0070723,Soylent Green,1973,"Crime, Mystery, Sci-Fi, Thriller",Richard Fleischer,"Stanley R. Greenberg (screenplay), Harry Harrison (novel)","Charlton Heston, Leigh Taylor-Young, Chuck Connors, Joseph Cotten","English, Spanish",https://m.media-amazon.com/images/M/MV5BNGY4ZjVlNDQtNGY0Yi00ZGU2LTlmOTktZjI1MjFkNThhZDA0XkEyXkFqcGdeQXVyMTA1NTM1NDI2._V1_SX300.jpg,7.1,54486
2010,tt0017136,Metropolis,1927,"Drama, Sci-Fi",Fritz Lang,"Thea von Harbou (screenplay), Thea von Harbou (novel)","Alfred Abel, Gustav Fröhlich, Rudolf Klein-Rogge, Fritz Rasp",German,https://m.media-amazon.com/images/M/MV5BMTg5YWIyMWUtZDY5My00Zjc1LTljOTctYmI0MWRmY2M2NmRkXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_SX300.jpg,8.3,150839
2011,tt0096874,Back to the Future Part II,1989,"Adventure, Comedy, Sci-Fi",Robert Zemeckis,"Robert Zemeckis (characters), Bob Gale (characters), Robert Zemeckis (story), Bob Gale (story), Bob Gale (screenplay)","Michael J. Fox, Christopher Lloyd, Lea Thompson, Thomas F. Wilson",English,https://m.media-amazon.com/images/M/MV5BZTMxMGM5MjItNDJhNy00MWI2LWJlZWMtOWFhMjI5ZTQwMWM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.8,450360
2012,tt0099088,Back to the Future Part III,1990,"Adventure, Comedy, Sci-Fi, Western",Robert Zemeckis,"Robert Zemeckis (characters), Bob Gale (characters), Robert Zemeckis (story), Bob Gale (story), Bob Gale (screenplay)","Michael J. Fox, Christopher Lloyd, Mary Steenburgen, Thomas F. Wilson",English,https://m.media-amazon.com/images/M/MV5BYjhlMGYxNmMtOWFmMi00Y2M2LWE5NWYtZTdlMDRlMGEzMDA3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.4,379333
2013,tt0069113,The Poseidon Adventure,1972,"Action, Adventure, Drama, Thriller",Ronald Neame,"Paul Gallico (novel), Stirling Silliphant (screenplay by), Wendell Mayes (screenplay by)","Gene Hackman, Ernest Borgnine, Red Buttons, Carol Lynley","English, Hebrew",https://m.media-amazon.com/images/M/MV5BYmM0ZDRkZGEtNTFmNS00MDg1LThkNWItZmU1NmM1OGM0NTU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,7.1,38993
2014,tt0076054,Freaky Friday,1976,"Comedy, Family, Fantasy",Gary Nelson,"Mary Rodgers (screenplay), Mary Rodgers (book)","Barbara Harris, Jodie Foster, John Astin, Patsy Kelly",English,https://m.media-amazon.com/images/M/MV5BMzlmMjVjZTMtNWZmNC00ZDU3LWFkZmEtOTRkMWJhYTc3OTUyL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.3,10912
2015,tt0054594,The Absent Minded Professor,1961,"Comedy, Family, Sci-Fi, Sport",Robert Stevenson,"Bill Walsh (screenplay), Samuel W. Taylor (story)","Fred MacMurray, Nancy Olson, Keenan Wynn, Tommy Kirk",English,https://m.media-amazon.com/images/M/MV5BNjVjNmE3ZWMtMjRlMS00MGVjLWFkZGItZTQyOGVkYzg2MzVmXkEyXkFqcGdeQXVyNjE5MjUyOTM@._V1_SX300.jpg,6.8,6856
2016,tt0078790,The Apple Dumpling Gang Rides Again,1979,"Comedy, Family, Western",Vincent McEveety,Don Tait,"Tim Conway, Don Knotts, Tim Matheson, Kenneth Mars",English,https://m.media-amazon.com/images/M/MV5BZjI2OTJlYjQtOTAwMi00NTM1LWI0MTktYTMzZjlhNGRlMjIwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,6.1,2270
2017,tt0054649,Babes in Toyland,1960,"Comedy, Family, Fantasy, Musical, Romance",Jack Donohue,"Victor Herbert (operetta), Glen MacDonough (operetta), Ward Kimball (screenplay), Joe Rinaldi (screenplay), Lowell S. Hawley (screenplay), Anna Alice Chapin (libretto)","Ray Bolger, Tommy Sands, Annette Funicello, Ed Wynn",English,https://m.media-amazon.com/images/M/MV5BZjdlNmEzOTQtNjhlMS00MDZiLTk2YjUtMWEzMzI3ODc4MDVmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMDI3OTIzOA@@._V1_SX300.jpg,6.3,3198
2018,tt0034492,Bambi,1942,"Animation, Drama, Family","James Algar, Samuel Armstrong, David Hand, Graham Heid, Bill Roberts, Paul Satterfield, Norman Wright, Arthur Davis, Clyde Geronimi","Felix Salten (from the story by), Perce Pearce (story direction), Larry Morey (story adaptation), Vernon Stallings (story development), Mel Shaw (story development), Carl Fallberg (story development), Chuck Couch (story development), Ralph Wright (story development)","Hardie Albright, Stan Alexander, Bobette Audrey, Peter Behn",English,https://m.media-amazon.com/images/M/MV5BMTY1NzM4NDg5MV5BMl5BanBnXkFtZTgwMjI1MTkzMjE@._V1_SX300.jpg,7.3,124531
2019,tt0047478,Seven Samurai,1954,"Action, Adventure, Drama",Akira Kurosawa,"Akira Kurosawa (screenplay), Shinobu Hashimoto (screenplay), Hideo Oguni (screenplay)","Toshirô Mifune, Takashi Shimura, Keiko Tsushima, Yukiko Shimazaki",Japanese,https://m.media-amazon.com/images/M/MV5BOWE4ZDdhNmMtNzE5ZC00NzExLTlhNGMtY2ZhYjYzODEzODA1XkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_SX300.jpg,8.6,296847
2020,tt0094947,Dangerous Liaisons,1988,"Drama, Romance",Stephen Frears,"Christopher Hampton (play), Choderlos de Laclos (novel), Christopher Hampton (screenplay)","Glenn Close, John Malkovich, Michelle Pfeiffer, Swoosie Kurtz",English,https://m.media-amazon.com/images/M/MV5BMDZmODc0MWQtYWVjOS00OGFiLWExNjItOTMyN2Q5ZTFmYzUzXkEyXkFqcGdeQXVyMTAwMzUyOTc@._V1_SX300.jpg,7.6,61733
2021,tt0087182,Dune,1984,"Action, Adventure, Sci-Fi",David Lynch,"Frank Herbert (novel), David Lynch (screenplay)","Francesca Annis, Leonardo Cimino, Brad Dourif, José Ferrer",English,https://m.media-amazon.com/images/M/MV5BYTAzYzNlMDMtMGRjYS00M2UxLTk0MmEtYmE4YWZiYmEwOTIwL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,6.5,115534
2022,tt0095497,The Last Temptation of Christ,1988,Drama,Martin Scorsese,"Nikos Kazantzakis (novel), Paul Schrader (screenplay)","Willem Dafoe, Harvey Keitel, Paul Greco, Steve Shill",English,https://m.media-amazon.com/images/M/MV5BMTFkNmY0OTktYmUyNS00MjI3LWE3ZGItNWU1NzkyMDY3NTlmL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNjc1NTYyMjg@._V1_SX300.jpg,7.6,48685
2023,tt0099674,The Godfather: Part III,1990,"Crime, Drama",Francis Ford Coppola,"Mario Puzo, Francis Ford Coppola","Al Pacino, Diane Keaton, Talia Shire, Andy Garcia","English, Italian, German, Latin",https://m.media-amazon.com/images/M/MV5BNTc1YjhiNzktMjEyNS00YmNhLWExYjItZDhkNWJjZjYxOWZiXkEyXkFqcGdeQXVyNzkwMjQ5NzM@._V1_SX300.jpg,7.6,338084
2024,tt0102757,The Rapture,1991,"Drama, Mystery",Michael Tolkin,Michael Tolkin,"Mimi Rogers, Darwyn Carson, Patrick Bauchau, Marvin Elkins",English,https://m.media-amazon.com/images/M/MV5BNzJiNmY4MTUtNWMxMS00MzcwLWFkNjUtZWQxMTE4NjJhY2ZmXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,6.2,4619
2025,tt0119558,Lolita,1997,"Drama, Romance",Adrian Lyne,"Vladimir Nabokov (novel), Stephen Schiff (screenplay)","Jeremy Irons, Melanie Griffith, Frank Langella, Dominique Swain",English,https://m.media-amazon.com/images/M/MV5BOGNkZDU0YjktN2Q5Zi00MmY0LWI3Y2YtNmQzOGQxY2UzNGM3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,6.9,48997
2026,tt0134619,Disturbing Behavior,1998,"Horror, Mystery, Sci-Fi, Thriller",David Nutter,Scott Rosenberg,"James Marsden, Katie Holmes, Tobias Mehler, Nick Stahl",English,https://m.media-amazon.com/images/M/MV5BNjcxNGQ2MTktZGI0OC00YTA3LWFlMWUtYzA5NDM5Y2E5NzU3XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.6,20030
2027,tt0120741,Mafia!,1998,"Comedy, Crime",Jim Abrahams,"Jim Abrahams, Greg Norberg, Michael McManus","Jay Mohr, Billy Burke, Christina Applegate, Pamela Gidley","English, Italian",https://m.media-amazon.com/images/M/MV5BYjJlZjYwMjQtMWUwYi00MDYwLWFjOTgtZjk0M2ZkMmVkZGQ1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.6,14109
2028,tt0120815,Saving Private Ryan,1998,"Drama, War",Steven Spielberg,Robert Rodat,"Tom Hanks, Tom Sizemore, Edward Burns, Barry Pepper","English, French, German, Czech",https://m.media-amazon.com/images/M/MV5BZjhkMDM4MWItZTVjOC00ZDRhLThmYTAtM2I5NzBmNmNlMzI1XkEyXkFqcGdeQXVyNDYyMDk5MTU@._V1_SX300.jpg,8.6,1168688
2032,tt0066811,The Barefoot Executive,1971,"Family, Comedy",Robert Butler,"Joseph L. McEveety (screenplay), Lila Garrett (story), Bernie Kahn (story), Stewart C. Billett (story)","Kurt Russell, Joe Flynn, Harry Morgan, Wally Cox",English,https://m.media-amazon.com/images/M/MV5BODUxYzY0YTEtYmFhNy00YTQzLTgzZWUtYmQ4NWE5MzcwYmQzL2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,6,1594
2033,tt0088814,The Black Cauldron,1985,"Animation, Action, Adventure, Family, Fantasy, Horror","Ted Berman, Richard Rich","Lloyd Alexander (novel), David Jonas (story), Vance Gerry (story), Ted Berman (story), Richard Rich (story), Al Wilson (story), Roy Morita (story), Peter Young (story), Art Stevens (story), Joe Hale (story), Rosemary Anne Sisson (additional dialogue), Roy Edward Disney (additional dialogue), Tony Marino (additional story contributions), Steve Hulett (additional story contributions), Mel Shaw (additional story contributions), Burny Mattinson (additional story contributions), John Musker (additional story contributions), Ron Clements (additional story contributions), Doug Lefler (additional story contributions)","Grant Bardsley, Susan Sheridan, Freddie Jones, Nigel Hawthorne","English, Portuguese",https://m.media-amazon.com/images/M/MV5BYjU4MDNmMTYtYzUyNS00ZmRmLWFiYTMtNzdiYjE0NTdlZDI0XkEyXkFqcGdeQXVyNzY1NDgwNjQ@._V1_SX300.jpg,6.4,28983
2034,tt0078869,The Black Hole,1979,"Action, Sci-Fi",Gary Nelson,"Jeb Rosebrook (story by), Bob Barbash (story by), Richard H. Landau (story by), Jeb Rosebrook (screenplay by), Gerry Day (screenplay by)","Maximilian Schell, Anthony Perkins, Robert Forster, Joseph Bottoms",English,https://m.media-amazon.com/images/M/MV5BOGEzN2M5YTItZDRkZS00OWMxLTk3MTktZjZkNzExYWRjYjA5XkEyXkFqcGdeQXVyMjI4MjA5MzA@._V1_SX300.jpg,6,22006
2035,tt0062737,Blackbeard's Ghost,1968,"Comedy, Family, Fantasy",Robert Stevenson,"Bill Walsh (screenplay), Don DaGradi (screenplay), Ben Stahl (book)","Peter Ustinov, Dean Jones, Suzanne Pleshette, Elsa Lanchester",English,https://m.media-amazon.com/images/M/MV5BNDRiN2M3ZDktYzhjMi00ZmVjLWJjOWQtZDVhMDNjZmZlYWRhXkEyXkFqcGdeQXVyMjA0MzYwMDY@._V1_SX300.jpg,6.9,4698
2036,tt0109287,Blank Check,1994,"Comedy, Crime, Family",Rupert Wainwright,"Blake Snyder, Colby Carr","Brian Bonsall, Karen Duffy, James Rebhorn, Jayne Atkinson",English,https://m.media-amazon.com/images/M/MV5BNWM4M2QwOWUtNGMwMS00Nzg2LTg0YjktYTU4M2ZhYTMwYTU5XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5.3,18046
2037,tt0075807,Candleshoe,1977,"Adventure, Comedy, Drama, Family",Norman Tokar,"David Swift (screenplay), Rosemary Anne Sisson (screenplay), Michael Innes (book)","David Niven, Helen Hayes, Jodie Foster, Leo McKern",English,https://m.media-amazon.com/images/M/MV5BMDVkZjMxNjItNzM4My00ODdjLTk5YTgtNzNlMWJmZGZjNzRhXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,6.8,3352
2038,tt0077305,The Cat from Outer Space,1978,"Comedy, Family, Sci-Fi",Norman Tokar,Ted Key,"Ken Berry, Sandy Duncan, Harry Morgan, Roddy McDowall",English,https://m.media-amazon.com/images/M/MV5BMjk1Njk3ZjYtMmE4Yi00NzMwLTllNWEtN2ZjNTJjN2NhNjRhXkEyXkFqcGdeQXVyMTQ3Njg3MQ@@._V1_SX300.jpg,6.1,4032
2040,tt0065566,The Computer Wore Tennis Shoes,1969,"Comedy, Family, Sci-Fi",Robert Butler,Joseph L. McEveety,"Kurt Russell, Cesar Romero, Joe Flynn, William Schallert",English,https://m.media-amazon.com/images/M/MV5BYTcwMmEzZWUtMWZjNy00MDE2LWFhYmMtNTQ1NmJmMjE2NGMwXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,6.1,4023
2041,tt0082199,Condorman,1981,"Action, Adventure, Comedy, Drama, Family, Romance",Charles Jarrott,"Marc Stirdivant (screenplay), Robert Sheckley (novel)","Michael Crawford, Oliver Reed, Barbara Carrera, James Hampton",English,https://m.media-amazon.com/images/M/MV5BNTY5ZDg5ZGEtM2FmZS00MjMyLWJhMDAtNjBmMmZlOWU2ZWU0XkEyXkFqcGdeQXVyMTEwODg2MDY@._V1_SX300.jpg,5.7,4354
2042,tt0109520,D2: The Mighty Ducks,1994,"Comedy, Drama, Family, Sport",Sam Weisman,"Steven Brill (characters), Steven Brill","Emilio Estevez, Kathryn Erbe, Michael Tucker, Jan Rubes","English, Icelandic",https://m.media-amazon.com/images/M/MV5BMjA1YjVjZWQtZTNkYS00NTA2LThhODUtZTI1MzIwMWRjNWMzXkEyXkFqcGdeQXVyNDk3NzU2MTQ@._V1_SX300.jpg,6.1,34456
2043,tt0052722,Darby O'Gill and the Little People,1959,"Adventure, Family, Fantasy, Romance",Robert Stevenson,"Lawrence Edward Watkin, H.T. Kavanagh (suggested by ""Darby O'Gill"" stories)","Albert Sharpe, Janet Munro, Sean Connery, Jimmy O'Dea","English, Irish",https://m.media-amazon.com/images/M/MV5BN2VmYjI5YWYtODlkOS00ZjE4LWIzYTItMmQ1ZGJiMzk3MjcxXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,7.2,6489
2044,tt0082263,The Devil and Max Devlin,1981,"Comedy, Family, Fantasy",Steven Hilliard Stern,"Mary Rodgers (story), Jimmy Sangster (story), Mary Rodgers (screenplay)","Elliott Gould, Bill Cosby, Susan Anspach, Adam Rich",English,https://m.media-amazon.com/images/M/MV5BZWQzZmRlOGQtZTk1ZS00N2QxLTg3ZmUtNmJiNTk0OWQ2YTExXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,5.1,1105
2046,tt0091059,Flight of the Navigator,1986,"Adventure, Comedy, Family, Sci-Fi",Randal Kleiser,"Mark H. Baker (story), Michael Burton (screenplay), Phil Joanou (screenplay)","Joey Cramer, Paul Reubens, Cliff De Young, Veronica Cartwright",English,https://m.media-amazon.com/images/M/MV5BMjUwNmY4ZmYtMzM2OS00N2UxLWFkMWEtZmI0ODRlNWRmM2MwXkEyXkFqcGdeQXVyNTI4MjkwNjA@._V1_SX300.jpg,6.9,42037
2048,tt0091149,The Great Mouse Detective,1986,"Animation, Adventure, Family, Musical, Mystery","Ron Clements, Burny Mattinson, David Michener, John Musker","Peter Young (story adapted by), Vance Gerry (story adapted by), Steve Hulett (story adapted by), Ron Clements (story adapted by), John Musker (story adapted by), Bruce Morris (story adapted by), Matthew O'Callaghan (story adapted by), Burny Mattinson (story adapted by), David Michener (story adapted by), Mel Shaw (story adapted by), Eve Titus (based on ""Basil Of Baker Street""), Paul Galdone (based on ""Basil Of Baker Street"")","Vincent Price, Barrie Ingham, Val Bettin, Susanne Pollatschek","English, French, German, Italian",https://m.media-amazon.com/images/M/MV5BMDUzMTliZDYtMmRjZS00Zjk3LWIwZjEtZjc4N2NjYjdmY2FjXkEyXkFqcGdeQXVyMjA0MDQ0Mjc@._V1_SX300.jpg,7.2,42290
2050,tt0080861,Herbie Goes Bananas,1980,"Adventure, Comedy, Family, Fantasy",Vincent McEveety,"Don Tait, Gordon Buford (characters creator)","Cloris Leachman, Charles Martin Smith, John Vernon, Stephen W. Burns","English, Spanish",https://m.media-amazon.com/images/M/MV5BOTYwZThhZGQtNGM2Ny00YTAwLTgxYTEtYmVhZGU0ODU4MzYxXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,5,4914
2051,tt0076137,Herbie Goes to Monte Carlo,1977,"Action, Adventure, Comedy, Family, Romance",Vincent McEveety,"Arthur Alsberg, Don Nelson, Gordon Buford (characters created by)","Dean Jones, Don Knotts, Julie Sommars, Jacques Marin","English, French",https://m.media-amazon.com/images/M/MV5BOTllNTk2YWItYmQ5Yy00MGUzLTgxMzAtMjNmOTU1ODgxOGI4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNzc5MjA3OA@@._V1_SX300.jpg,5.6,6438
